sampleid sex pc1 pc2 pc3 pc4 pc5 pc6 age pf1 pf2 pf3 pf4 pf5 pf6 pf7 pf8 pf9 pf10
690_691 1 -0.046628799289465 -0.00405531004071236 -0.00766748003661633 -0.0311471000313759 -0.0236403997987509 -0.00482564978301525 68 0.0139379156753421 0.00504346331581473 -6.74870243528858e-05 -0.000327333429595456 7.27700853531132e-06 -1.53210930875503e-05 -2.94769452011678e-05 1.54725012180279e-06 7.52221239963546e-07 -1.66367226483999e-06
689_690 1 0.0317227989435196 0.00653943000361323 -0.0310768000781536 0.0284062996506691 -0.0307561997324228 -0.00383561011403799 59 0.0286721717566252 0.0105786575004458 -0.000138240415253676 -0.000843140587676316 8.91736999619752e-05 -4.04971069656312e-05 -1.98665184143465e-05 3.69134886568645e-06 1.10701112134848e-05 1.72863747138763e-06
687_688 2 0.0258524995297194 0.028660599142313 -0.0517402999103069 0.03126610070467 -0.0127619998529553 -0.00195260997861624 63 0.0299633350223303 0.011051426641643 -0.000144473407999612 -0.000878261693287641 9.19490412343293e-05 -4.21707300120033e-05 -2.14426145248581e-05 3.84907389161526e-06 1.1409325452405e-05 1.72036925505381e-06
682_683 1 0.0168309006839991 0.00142373994458467 0.00899052992463112 -0.0261160004884005 0.0268431007862091 -0.0201805997639894 73 0.00174792157486081 0.000470805913209915 -8.93715332495049e-06 9.42799160839058e-05 -5.82475586270448e-05 5.2375253289938e-06 -3.62030332325958e-05 -2.1131835126198e-07 -7.49793980503455e-06 -4.31548232882051e-06
688_689 1 0.000520974979735911 -0.0413938984274864 0.017748000100255 0.0316644981503487 -0.0408933013677597 0.00170863000676036 66 0.0251724626868963 0.00925153680145741 -0.000121468845463824 -0.000710441323462874 6.5271626226604e-05 -3.39790130965412e-05 -2.45939736487344e-05 3.15158513330971e-06 8.04827868705615e-06 6.14032614976168e-07
686_687 1 -0.0431381016969681 -0.0633803978562355 0.0191865004599094 0.0435625985264778 -0.00694300001487136 -0.0152144003659487 69 -0.00630096299573779 -0.00253071496263146 2.97794049402e-05 0.000357439450453967 -9.48489469010383e-05 1.80059359990992e-05 -3.69819463230669e-05 -1.32681907416554e-06 -1.20900695037562e-05 -5.60376156499842e-06
692_693 2 -0.0418546013534069 -0.0221763998270035 -0.0183180999010801 0.00741269020363688 -0.00670462986454368 -0.0561405010521412 62 0.0471493303775787 0.017483389005065 -0.000227066528168507 -0.00146006152499467 0.000178808666532859 -7.0487629272975e-05 -1.49931529449532e-05 6.29055784884258e-06 2.23322622332489e-05 5.07580170960864e-06
832_833 2 0.0199312008917332 0.00723017007112503 0.0368703007698059 0.001096670050174 -0.0292578991502523 -0.0206126999109983 71 -0.0352645926177502 -0.0133712152019143 0.000168970364029519 0.00133859424386173 -0.000241518995608203 6.57626442261972e-05 -4.80080780107528e-05 -5.4434153753391e-06 -3.05352587020025e-05 -1.12784591692616e-05
829_830 1 0.0197790991514921 -0.00297188991680741 0.00555182993412018 -0.0523305982351303 -0.0381724014878273 -0.00379348988644779 66 0.0436493456363678 0.0161644741892815 -0.000210276950383559 -0.00133373879361898 0.000157687492901459 -6.43054954707623e-05 -1.81928371603135e-05 5.76982802158454e-06 1.96673572645523e-05 4.15416616306175e-06
826_827 2 0.0148956999182701 0.0276302006095648 0.0442554987967014 -0.0642310976982117 -0.0255586002022028 0.044744998216629 69 0.0286828260868788 0.0105572659522295 -0.000138362040161155 -0.000822549045551568 8.00758134573698e-05 -3.94072631024756e-05 -2.48906890192302e-05 3.63014623872004e-06 9.90243279375136e-06 1.09546544990735e-06
825_826 2 0.0110294995829463 0.0349248014390469 -0.0387730002403259 0.0258274003863335 -0.0266025997698307 0.0359857007861137 65 0.0129921995103359 0.00469705974683166 -6.291924364632e-05 -0.00030166024225764 5.27021211382817e-06 -1.40986230690032e-05 -2.83083973044995e-05 1.43190709422925e-06 5.06912329001352e-07 -1.65583878697362e-06
830_831 2 -0.0231727007776499 0.0276820994913578 0.0351526997983456 -0.0127651002258062 0.00381187000311911 0.0289158001542091 68 -0.0312829054892063 -0.0118739726021886 0.000149854429764673 0.00119800365064293 -0.000218863235204481 5.88957700529136e-05 -4.51227533631027e-05 -4.86041608382948e-06 -2.76797109108884e-05 -1.032531963574e-05
823_824 2 0.016006400808692 0.00453457003459334 0.00746532017365098 -0.0486418008804321 -0.0426263995468616 -0.00601167976856232 75 0.0574225224554539 0.0212943442165852 -0.000276537641184404 -0.00177945231553167 0.00021832252969034 -8.59128049341962e-05 -1.7956095689442e-05 7.66499124438269e-06 2.72692868747981e-05 6.22015068074688e-06
843_844 1 -0.000422809011070058 0.0272773001343012 -0.00875975005328655 0.0107108000665903 -0.00353670003823936 0.00603138003498316 62 0.0487615391612053 0.0180861819535494 -0.000234813036513515 -0.00151445670053363 0.000186882651178166 -7.31349718989804e-05 -1.44283530971734e-05 6.5190779423574e-06 2.33476439461811e-05 5.38550284545636e-06
827_828 1 0.0100087001919746 0.0374647006392479 -0.00368421990424395 -0.0355167984962463 -0.0346908010542393 0.00322979991324246 71 0.00643420731648803 0.00222865561954677 -3.14439093926921e-05 -6.79201548337005e-05 -3.30032744386699e-05 -2.67238669948711e-06 -3.35871372953989e-05 4.65104676550254e-07 -4.31929220212623e-06 -3.292215296824e-06
824_825 1 0.028286300599575 -0.028829000890255 -0.0127288000658154 -0.00510891992598772 -0.0135986004024744 -0.0604907013475895 66 0.0754811689257622 0.0280730146914721 -0.000363267172360793 -0.00240743067115545 0.000316862482577562 -0.000116547176730819 -7.18466617399827e-06 1.02802587207407e-05 3.96798677684274e-05 1.02506019175053e-05
989_990 1 -0.0010194800561294 0.0184588003903627 -0.0357309989631176 0.0146709997206926 -0.0153104001656175 -0.0161380004137754 61 0.0430141650140285 0.0159389637410641 -0.000207185352337547 -0.00132274581119418 0.000159076807904057 -6.38155033811927e-05 -1.59031333168969e-05 5.71110058444901e-06 1.98541165445931e-05 4.34951198258204e-06
990_991 2 0.0248671006411314 -0.00979034975171089 -0.0106522999703884 0.0123306000605226 0.0233392994850874 0.0708089023828506 69 0.00428812438622117 0.00143094104714692 -2.11161823244765e-05 2.88754904431698e-07 -4.19118114223238e-05 6.2883174223316e-07 -3.33281859639101e-05 1.73532512803831e-07 -5.43463829671964e-06 -3.57673616235843e-06
834_835 1 0.0160640999674797 -0.00810818001627922 -0.0243819002062082 0.0435946993529797 -0.0186432991176844 -0.00770229008048773 64 0.0773942992091179 0.0287929624319077 -0.000372442882508039 -0.0024760861415416 0.000328241789247841 -0.000119906151667237 -5.52617530047428e-06 1.05637464002939e-05 4.11154869652819e-05 1.07429777926882e-05
835_836 2 -0.0903555005788803 -0.00612497981637716 -0.0286714993417263 -0.00785282999277115 0.000993515946902335 0.0126510998234153 64 0.0196541100740433 0.0071918498724699 -9.49307213886641e-05 -0.000528445991221815 3.94906710425857e-05 -2.51416058745235e-05 -2.55059931077994e-05 2.38207576330751e-06 4.81164533994161e-06 -3.1697163649369e-07
846_847 2 -0.00865393038839102 0.0148751996457577 -0.0139263002201915 0.0217518005520105 0.00451995013281703 -0.0234473999589682 77 -0.00949855707585812 -0.00374731863848865 4.5090931962477e-05 0.000482132454635575 -0.000118194613605738 2.41440429817885e-05 -4.2129511712119e-05 -1.83031079359353e-06 -1.50444357132073e-05 -6.72679379931651e-06
845_846 1 0.0218036007136106 0.0549564994871616 0.0488050989806652 0.041065901517868 -0.0266922004520893 -0.0252282992005348 81 -0.0015497412532568 -0.000782848044764251 6.8535214268195e-06 0.000222263421164826 -8.20605491753668e-05 1.15359362098388e-05 -4.13670277339406e-05 -7.28751729184296e-07 -1.05108811112586e-05 -5.45538659935119e-06
849_850 2 -0.0276395995169878 -0.0251901000738144 0.00677216006442904 0.00486599979922175 -0.0248061995953321 -0.0313988998532295 81 0.023277536034584 0.00850532203912735 -0.000112471600004937 -0.000615183962509036 4.20951728301588e-05 -2.92112163151614e-05 -3.27779780491255e-05 2.78920470009325e-06 5.09857636643574e-06 -7.00070813763887e-07
847_848 2 0.026086600497365 -0.0191056001931429 -0.0184792000800371 0.011544999666512 0.00826129037886858 0.00188014004379511 74 0.0596761517226696 0.0221403241157532 -0.000287364120595157 -0.00185759190935642 0.000230513978749514 -8.97231439012103e-05 -1.6670137483743e-05 7.99063127487898e-06 2.88044557237299e-05 6.7157607190893e-06
836_837 1 -0.0456672981381416 -0.0588325001299381 -0.0230272002518177 -0.00910971965640783 0.00702825002372265 -0.0118754003196955 72 0.0720514431595802 0.0267741940915585 -0.000346821965649724 -0.00227920920588076 0.000294242199743167 -0.000110256172774825 -1.13754322228488e-05 9.7568154160399e-06 3.68218024959788e-05 9.21414357435424e-06
851_852 2 0.0318989008665085 -0.0394198000431061 -0.00872382987290621 0.014614500105381 -0.0260063000023365 -0.0042222598567605 66 0.0205259062349796 0.0075127761811018 -9.91333727142774e-05 -0.000553698686417192 4.20383621531073e-05 -2.6353111024946e-05 -2.61994464381132e-05 2.49320555667509e-06 5.12736369273625e-06 -2.75702404906042e-07
848_849 2 0.013404699973762 0.0142524000257254 0.019021300598979 -0.0357952006161213 0.00631893984973431 -0.0311666000634432 84 -0.0410073958337307 -0.0155514283105731 0.000196472115931101 0.00155942887067795 -0.000282105931546539 7.66237499192357e-05 -5.6516844779253e-05 -6.33847139397403e-06 -3.56692144123372e-05 -1.32024315462331e-05
993_994 1 0.0303131006658077 -0.0101723000407219 0.0038249499630183 -0.0171007998287678 0.0398575998842716 -0.0507238991558552 69 0.0364650040864944 0.0134687395766377 -0.00017576536629349 -0.00108510837890208 0.000119015603559092 -5.21823894814588e-05 -2.21858335862635e-05 4.73301679448923e-06 1.4798242773395e-05 2.58764430327574e-06
811_812 1 0.0384609997272491 -0.0213884003460407 -0.0042123100720346 -0.0117264995351434 -0.0355557017028332 0.00435267994180322 50 0.0465477854013443 0.0172879807651043 -0.000224085670197383 -0.00146488845348358 0.000186785910045728 -7.08294537616894e-05 -9.16505814529955e-06 6.28060206508962e-06 2.33640130318236e-05 5.72323506276007e-06
996_997 2 -0.0301050003618002 0.0130808996036649 -0.0442406013607979 0.0296723004430532 -0.00566491996869445 0.0221883002668619 68 0.0481664873659611 0.0178491249680519 -0.000232000573305413 -0.00148188043385744 0.000178432062966749 -7.14958077878691e-05 -1.76431876752758e-05 6.39727704765392e-06 2.22707985813031e-05 4.89136436954141e-06
986_987 1 0.026808699592948 0.0308226998895407 -0.0154566997662187 0.0452965013682842 -0.01117920037359 -0.0236112996935844 69 0.0296571236103773 0.0109214531257749 -0.000143043784191832 -0.000855417631100863 8.49517236929387e-05 -4.10065986216068e-05 -2.45514984271722e-05 3.7682220863644e-06 1.05155522760469e-05 1.28240117192036e-06
810_811 2 0.0215253997594118 -0.0392476990818977 -0.0191339999437332 -0.00638114009052515 0.0174815002828836 0.0044906297698617 77 0.0128882769495249 0.00462876539677382 -6.25106404186226e-05 -0.000273105688393116 -6.20734863332473e-06 -1.2602198694367e-05 -3.43655119650066e-05 1.34210131363943e-06 -9.64701030170545e-07 -2.43648264586227e-06
852_853 2 0.0158370994031429 0.0158134996891022 -0.0107151996344328 -0.00303439004346728 -0.0144148003309965 -0.0259741991758347 65 0.00696468167006969 0.0024428095202893 -3.39532307407353e-05 -9.84288635663688e-05 -2.48459091380937e-05 -4.20945434598252e-06 -3.03799843095476e-05 5.78005256102188e-07 -3.27956149703823e-06 -2.80861513601849e-06
999_1000 2 0.0277721006423235 -0.0199801996350288 0.0166311003267765 -0.0201076008379459 0.0294717997312546 -0.0517508983612061 62 0.0851548686623573 0.0317030176520348 -0.000409737054724246 -0.00274219224229455 0.000368922104826197 -0.000132869638036937 -1.81551513378508e-06 1.1676235772029e-05 4.62342577520758e-05 1.2358968888293e-05
812_813 2 0.00869059003889561 -0.000567264971323311 0.00488827005028725 -0.0254404991865158 -0.0108137000352144 0.00259653991088271 51 0.080136701464653 0.0298516862094402 -0.000385530205676332 -0.00259576248936355 0.000353833573171869 -0.000125844380818307 1.94863241631538e-06 1.10337305159192e-05 4.43638891738374e-05 1.20927034004126e-05
994_995 2 0.0423212014138699 -0.00395262986421585 0.0985566973686218 0.119401998817921 -0.0378782004117966 -0.0603431984782219 66 0.0518435426056385 0.0192297119647264 -0.000249657954555005 -0.00161010504234582 0.000198658293811604 -7.7753014920745e-05 -1.5361587429652e-05 6.93087440595264e-06 2.48184114752803e-05 5.72322005609749e-06
991_992 2 0.022936599329114 -0.0679853036999702 -0.0378088988363743 0.00337303010746837 0.0396636985242367 0.0392010994255543 76 0.013071714900434 0.00469933031126857 -6.33817035122775e-05 -0.000281345564872026 -4.38376082456671e-06 -1.30125772557221e-05 -3.38039390044287e-05 1.37428196467226e-06 -7.3314004112035e-07 -2.33839637076017e-06
998_999 1 0.00699845980852842 0.00585058005526662 0.00428730016574264 -0.0380459986627102 -0.0684738010168076 0.00410134019330144 71 0.0703452527523041 0.0261396579444408 -0.000338621466653422 -0.00222388422116637 0.000286668015178293 -0.00010757238487713 -1.14406793727539e-05 9.52162008616142e-06 3.58717225026339e-05 8.95367338671349e-06
995_996 2 0.0271469000726938 0.0179386008530855 -0.0363069996237755 0.00262653990648687 0.0385318994522095 -0.070132203400135 71 0.0620922110974789 0.0230515021830797 -0.000298952421871945 -0.00194538570940495 0.000245352915953845 -9.40220197662711e-05 -1.43193556141341e-05 8.35187711345498e-06 3.06772963085677e-05 7.3699229687918e-06
855_856 2 0.0106359999626875 -0.0211057998239994 -0.0509061999619007 0.0650051981210709 -0.0325030982494354 -0.0390735007822514 22 0.129571691155434 0.0484185069799423 -0.000622915278654546 -0.00432389974594116 0.000627556233666837 -0.000210185477044433 3.36163320753258e-05 1.82201874849852e-05 7.88468387327157e-05 2.34015351452399e-05
858_859 2 0.030800199136138 0.00547177018597722 -0.0556028001010418 0.0271006003022194 0.050976000726223 -0.0104267997667193 53 0.0476535372436047 0.0176941845566034 -0.000229421551921405 -0.00149586144834757 0.000189552127267234 -7.23097618902102e-05 -1.03008624137146e-05 6.41833594272612e-06 2.37045369431144e-05 5.74315890844446e-06
1002_1003 1 -0.0573946982622147 -0.0192437004297972 0.00442423997446895 0.00619120988994837 -0.0108773997053504 -0.0137430001050234 73 0.0396117493510246 0.014636205509305 -0.000190919614396989 -0.00118295254651457 0.000131122331367806 -5.69074909435585e-05 -2.30915138672572e-05 5.15402825840283e-06 1.63109580171295e-05 2.93839821097208e-06
853_854 2 0.0148718999698758 0.0269990991801023 -0.0231903996318579 -0.00010077500337502 0.0365257002413273 0.0174992997199297 59 0.0365914143621922 0.0135412290692329 -0.000176301429746673 -0.00111026281956583 0.000128777392092161 -5.34944956598338e-05 -1.71259907801868e-05 4.81349388792296e-06 1.60493000294082e-05 3.24558277497999e-06
1004_1005 2 -0.00844390969723463 0.00513321999460459 0.0119116995483637 -0.0179121997207403 0.0453309006989002 -0.0771470963954926 74 0.0172620993107557 0.00627220002934337 -8.35085738799535e-05 -0.000426842132583261 1.83821575774346e-05 -2.01091170310974e-05 -3.13592645397875e-05 1.98048110178206e-06 2.13390012504533e-06 -1.41006694320822e-06
1003_1004 2 0.00532722007483244 0.0088374400511384 -0.0129912002012134 0.0099754398688674 -0.0248547997325659 0.000188687001354992 58 0.0554175116121769 0.0205863267183304 -0.000266774412011728 -0.00174730597063899 0.0002238118177047 -8.44997703097761e-05 -1.01239893410821e-05 7.48720140109072e-06 2.79999876511283e-05 6.9132870521571e-06
987_988 2 0.0335121005773544 0.0426618009805679 -0.0110585996881127 0.0125431995838881 0.0204364005476236 -0.00281092990189791 74 0.0296685993671417 0.010913928039372 -0.000143139186548069 -0.000845372909680009 8.04398441687226e-05 -4.04728853027336e-05 -2.70586569968145e-05 3.73854118151939e-06 9.93621506495401e-06 9.67283085628878e-07
856_857 2 0.0376733988523483 -0.005102280061692 -0.0194301009178162 -0.0025450699031353 0.0670915022492409 -0.0528750009834766 60 0.0645447447896004 0.0239960849285126 -0.000310657051159069 -0.00205106288194656 0.000267655297648162 -9.92616041912697e-05 -7.95523737906478e-06 8.76817193784518e-06 3.35075383190997e-05 8.53654091770295e-06
857_858 2 -0.0628627985715866 -0.00103287003003061 0.0120954997837543 -0.00465600984171033 0.0186679996550083 0.00741708977147937 59 0.0546119883656502 0.0202826112508774 -0.000262910878518596 -0.00171806779690087 0.000218877277802676 -8.30680510262027e-05 -1.09006487036822e-05 7.3668461482157e-06 2.73771747743012e-05 6.69606652081711e-06
859_860 2 -0.0728921964764595 -0.0440476015210152 -0.0233730003237724 0.0145511999726295 0.00990862026810646 -0.00998352002352476 46 0.056575495749712 0.0210493709892035 -0.000272251141723245 -0.00181141612119973 0.000240555382333696 -8.77254860824905e-05 -3.70490670320578e-06 7.72631301515503e-06 3.01336494885618e-05 7.89543537393911e-06
1000_1001 2 0.0108171999454498 -0.00423360010609031 0.00537890987470746 -0.0205818992108107 -0.027539499104023 -0.0398611016571522 73 0.0507982969284058 0.0188211910426617 -0.000244685827055946 -0.00156018999405205 0.000187021563760936 -7.52619816921651e-05 -1.92447932931827e-05 6.73887006996665e-06 2.33387454500189e-05 5.07808363181539e-06
1001_1002 2 0.0121194003149867 0.000788657984230667 -0.0067132799886167 -0.0196995995938778 -0.000180693998117931 0.0373225994408131 57 0.0926780924201012 0.0345283932983875 -0.000445850193500519 -0.00300620659254491 0.000411048356909305 -0.000145761528983712 3.26419285556767e-06 1.27731109387241e-05 5.15429928782396e-05 1.41129030453158e-05
803_804 2 -0.0626649037003517 0.0255212001502514 -0.0370567999780178 0.00877839978784323 -0.00720923021435738 0.0255683995783329 54 0.0895372182130814 0.0333620347082615 -0.000430739193689078 -0.00290664727799594 0.000398116710130125 -0.000140943011501804 3.70127054338809e-06 1.23470972539508e-05 4.99240413773805e-05 1.37038186949212e-05
865_866 2 0.0242536999285221 0.0538788996636868 0.264284014701843 0.256871998310089 -0.0698994994163513 -0.0534979999065399 66 0.0822661742568016 0.0306112952530384 -0.000395876850234345 -0.00263625173829496 0.000350775953847915 -0.000127680687000975 -4.84664997202344e-06 1.12415809780941e-05 4.39434479631018e-05 1.15489956442616e-05
862_863 2 0.0108257997781038 -0.0644743964076042 0.144566997885704 0.119749002158642 0.048199500888586 0.00368213001638651 45 0.081449568271637 0.030357988551259 -0.000391796987969428 -0.00265258131548762 0.000365874147973955 -0.000128661631606519 5.41103872819804e-06 1.12572724901838e-05 4.58918184449431e-05 1.27242064991151e-05
863_864 1 0.0121130002662539 0.00436301017180085 0.0175029002130032 -0.0345111005008221 -0.0229775998741388 0.0045082401484251 69 0.0225544832646847 0.00826528202742338 -0.000108911895949859 -0.000615951546933502 4.94694722874556e-05 -2.93544726446271e-05 -2.69899574050214e-05 2.76205810223473e-06 6.05438253842294e-06 -7.56690496928059e-08
1007_1008 2 -0.0565658994019032 -0.0227042995393276 0.0307411998510361 -0.0143636995926499 0.0247703995555639 0.0445001982152462 75 0.0258880723267794 0.00949697755277157 -0.000124974700156599 -0.000715811387635767 6.06449648330454e-05 -3.41605264111422e-05 -2.88550054392545e-05 3.19676837534644e-06 7.4451818363741e-06 1.81476025318261e-07
864_865 2 0.0124696996062994 0.0233958996832371 -0.027768399566412 0.0309976991266012 -0.0186078008264303 -0.0356318987905979 61 0.0577253326773643 0.0214431453496218 -0.000277893122984096 -0.00181899778544903 0.000232651582336985 -8.79605722730048e-05 -1.08108088170411e-05 7.7957038229215e-06 2.91041051241336e-05 7.16767044650624e-06
804_805 1 0.0163662992417812 -0.0668488964438438 0.0142088001593947 0.0100397001951933 -0.0349945016205311 0.00940824020653963 53 0.0582657605409622 0.0216641370207071 -0.000280425534583628 -0.00185383879579604 0.000242630252614617 -8.972790237749e-05 -6.62406091578305e-06 7.9221090345527e-06 3.03780652757268e-05 7.77650620875647e-06
891_892 2 -0.0342482998967171 0.00684136990457773 0.0473770014941692 0.0305905994027853 -0.0129778999835253 -0.0132294995710254 57 0.080104649066925 0.0298249665647745 -0.00038542109541595 -0.00258214166387916 0.000348188244970515 -0.000125127960927784 -1.07695086626336e-06 1.09916118162801e-05 4.36396876466461e-05 1.1705735232681e-05
860_861 2 -0.0563413985073566 0.0132673000916839 -0.0109104998409748 -0.00682508014142513 -0.00320259993895888 -0.0112143000587821 49 0.0827899351716042 0.0308492667973042 -0.000398267700802535 -0.00268942047841847 0.000368919689208269 -0.000130418586195447 3.86541614716407e-06 1.14221411422477e-05 4.62652606074698e-05 1.27270932352985e-05
1005_1006 1 -0.0253924001008272 0.0197534002363682 0.00827904976904392 0.0088440403342247 0.0552962012588978 0.00412674993276596 66 0.0438911095261574 0.0162544008344412 -0.000211436301469803 -0.00134182802867144 0.000158876151544973 -6.4699852373451e-05 -1.81201103259809e-05 5.80395226279506e-06 1.98168891074602e-05 4.19911066273926e-06
